Rip Van Winkle	1896	1995
The River	1938	1990
Road to Morocco	1942	1996
Rocky	1976	2006
The Rocky Horror Picture Show	1975	2005
Roger & Me	1989	2013
Roman Holiday	1953	1999
Rose Hobart	1936	2001
Rosemary's Baby	1968	2014
Ruggles of Red Gap	1935	2014
Rushmore	1998	2016
Sabrina	1954	2002
Safety Last!	1923	1994
Salesman	1968	1992
Salomé	1923	2000
Salt of the Earth	1954	1992
Samsara: Death and Rebirth in Cambodia	1990	2012
San Francisco Earthquake and Fire, April 18, 1906	1906	2005
Saturday Night Fever	1977	2010
Saving Private Ryan	1998	2014
Scarface	1932	1994
Schindler’s List	1993	2004
Scratch and Crow	1995	2009
The Searchers	1956	1989
Seconds	1966	2015
Serene Velocity	1970	2001
Sergeant York	1941	2008
Seven Brides for Seven Brothers	1954	2004
Seventh Heaven	1927	1995
The Sex Life of the Polyp	1928	2007
sex, lies, and videotape	1989	2006
Shadow of a Doubt	1943	1991
Shadows	1959	1993
Shaft	1971	2000
Shane	1953	1993
The Shawshank Redemption	1994	2015
She Done Him Wrong	1933	1996
She's Gotta Have it	1986	2019
Sherlock, Jr.	1924	1991
Sherman’s March	1986	2000
The Shining	1980	2018
Shock Corridor	1963	1996
Shoes	1916	2014
The Shop Around the Corner	1940	1999
Show Boat	1936	1996
Show People	1928	2003
Shrek	2001	2020
Siege	1940	2006
The Silence of the Lambs	1991	2011
Singin' in the Rain	1952	1989
Sink or Swim	1990	2015
The Sinking of the Lusitania	1918	2017
Sky High	1922	1998
Slacker	1991	2012
Sleeping Beauty	1959	2019
Smoke Signals	1998	2018
Snow White	1933	1994
Snow White and the Seven Dwarfs	1937	1989
Some Like It Hot	1959	1989
Something Good – Negro Kiss	1898	2018
The Son of the Sheik	1926	2003
Sons of the Desert	1933	2012
The Sound of Music	1965	2001
So’s Your Old Man	1926	2008
Spartacus	1960	2017
The Spook Who Sat by the Door	1973	2012
St. Louis Blues	1929	2006
Stagecoach	1939	1995
Stand and Deliver	1988	2011
A Star Is Born	1954	2000
Star Wars	1977	1989
Stark Love	1927	2009
State Fair	1933	2014
Steamboat Bill, Jr.	1928	2016
Steamboat Willie	1928	1998
The Sting	1973	2005
Stormy Weather	1943	2001
The Story of G.I. Joe	1945	2009
The Story of Menstruation	1946	2015
Stranger Than Paradise	1984	2002
A Streetcar Named Desire	1951	1999
The Strong Man	1926	2007
A Study in Reds	1932	2009
Study of a River	1996-1997	2010
Sullivan’s Travels	1941	1990
Sunrise	1927	1989
Sunset Boulevard	1950	1989
Superman	1978	2017
Suspense	1913	2020
Suzanne, Suzanne	1982	2016
Sweet Smell of Success	1957	1993
Sweet Sweetback’s Baadasssss Song	1971	2020
Swing Time	1936	2004
Symbiopsychotaxiplasm: Take One	1968	2015
The T.A.M.I. Show	1964	2006
Tabu	1931	1994
Tacoma Narrows Bridge Collapse	1940	1998
The Tall T	1957	2000
Tarantella	1940	2010
Tarzan and His Mate	1934	2003
Taxi Driver	1976	1994
The Tell-Tale Heart	1953	2001
The Ten Commandments	1956	1999
The Terminator	1984	2008
Tess of the Storm Country	1914	2006
Tevye	1939	1991
Thelma & Louise	1991	2016
Thelonious Monk: Straight, No Chaser	1988	2017
Theodore Case Sound Test: Gus Visser and His Singing Duck	1925	2002
There It Is	1928	2004
They Call It Pro Football	1966	2012
The Thief of Bagdad	1924	1996
The Thin Blue Line	1988	2001
The Thin Man	1934	1997
The Thing from Another World	1951	2001
Think of Me First as a Person	1960-1975	2006
This Is Cinerama	1952	2002
This Is Spinal Tap	1984	2002
The Three Little Pigs	1933	2007
Time and Dreams	1976	2017
A Time for Burning	1966	2005
A Time Out of War	1954	2006
The Times of Harvey Milk	1984	2012
Tin Toy	1988	2003
Titanic	1997	2017
To Be or Not to Be	1942	1996
To Fly!	1976	1995
To Kill a Mockingbird	1962	1995
To Sleep with Anger	1990	2017
Tol’able David	1921	2007
Tom, Tom, the Piper's Son	1969-1971	2007
Tootsie	1982	1998
Top Gun	1986	2015
Top Hat	1935	1990
Topaz	1943-1945	1996
Touch of Evil	1958	1993
Toy Story	1995	2005
Traffic in Souls	1913	2006
Trance and Dance in Bali	1936-1939	1999
The Treasure of the Sierra Madre	1948	1990
A Tree Grows in Brooklyn	1945	2010
A Trip Down Market Street	1906	2010
Trouble in Paradise	1932	1991
Tulips Shall Grow	1942	1997
Twelve O’Clock High	1949	1998
Twentieth Century	1934	2011
Two-Color Kodachrome Test Shots No. III	1922	2012
Two-Lane Blacktop	1971	2012
Uncle Tom's Cabin	1914	2012
Under Western Stars	1938	2009
Unforgiven	1992	2004
Unmasked	1917	2014
V-E Day +1 (May 9, 1945)	1945	2014
Verbena tragica	1939	1996
Vertigo	1958	1989
A Virtuous Vamp	1919	2013
A Walk in the Sun	1945	2016
Wanda	1971	2017
War of the Worlds	1953	2011
Water and Power	1989	2008
Wattstax	1973	2020
The Way of Peace	1947	2014
The Wedding March	1928	2003
West Side Story	1961	1997
Westinghouse Works 1904	1904	1998
What’s Opera, Doc?	1957	1992
Where Are My Children?	1916	1993
White Fawn’s Devotion	1910	2008
White Heat	1949	2003
Who Framed Roger Rabbit?	1988	2016
Who’s Afraid of Virginia Woolf?	1966	2013
Why Man Creates	1968	2002
Why We Fight	1943-1945	2000
Wild and Woolly	1917	2002
Wild Boys of the Road	1933	2013
The Wild Bunch	1969	1999
Wild River	1960	2002
Will Success Spoil Rock Hunter?	1957	2000
Willy Wonka and the Chocolate Factory	1971	2014
Winchester '73	1950	2015
The Wind	1928	1993
Wings	1927	1997
The Wishing Ring: an Idyll of Old England	1914	2012
With Car and Camera Around the World	1929	2020
With the Abraham Lincoln Brigade in Spain	1937-38	2017
Within Our Gates	1920	1992
The Wizard of Oz	1939	1989
Woman of the Year	1942	1999
A Woman Under the Influence	1974	1990
The Women	1939	2007
Woodstock	1970	1996
Wuthering Heights	1939	2007
Yankee Doodle Dandy	1942	1993
Young Frankenstein	1974	2003
Young Mr. Lincoln	1939	2003
Zapruder Film	1963	1994
Zoot Suit	1981	2019
